arm,arm_label,seed,learning_rule,update,train_reward,welfare,join_rate,success_rate,message_norm,hidden_norm,live_monitor_content_accuracy,live_monitor_content_balanced_accuracy,live_monitor_true_probability
public_monitored,Public Monitored,0,ppo,12.0,0.19865792989730835,0.4152897596359253,0.6560872793197632,0.5284830927848816,2.479271173477173,1.8986876010894775,0.5959635376930237,0.4430395413597423,0.4023224115371704
public_monitored,Public Monitored,0,ppo,24.0,0.286645770072937,0.5014908909797668,0.6443034410476685,0.5636393427848816,2.7197296619415283,1.7372114658355713,0.7135091423988342,0.5886366642541974,0.5629534125328064
public_monitored,Public Monitored,0,ppo,36.0,0.30276986956596375,0.5109342932701111,0.6337891221046448,0.56396484375,2.8876404762268066,1.6143532991409302,0.7284830808639526,0.6047461314446827,0.6285016536712646
public_monitored,Public Monitored,0,ppo,48.0,0.3244272470474243,0.5240315794944763,0.6465820670127869,0.5771484375,3.0695488452911377,1.5139074325561523,0.7549153566360474,0.6186986254669108,0.6460971832275391
public_monitored,Public Monitored,0,ppo,60.0,0.32975199818611145,0.5240007042884827,0.6268229484558105,0.568359375,3.122842788696289,1.4565693140029907,0.7660481929779053,0.6291956753661275,0.6581990718841553
public_monitored,Public Monitored,0,ppo,72.0,0.3406606912612915,0.5310238003730774,0.6361328363418579,0.576171875,3.1380434036254883,1.4123615026474,0.7575520873069763,0.6287202985321628,0.6679909825325012
public_monitored,Public Monitored,0,ppo,84.0,0.33588922023773193,0.5221061110496521,0.6223958730697632,0.5652669072151184,3.1139397621154785,1.3743460178375244,0.7707682251930237,0.6356380618518817,0.674691379070282
public_monitored,Public Monitored,0,ppo,96.0,0.3544793725013733,0.5366438627243042,0.6312825679779053,0.5774739384651184,3.141190767288208,1.3315041065216064,0.7679036259651184,0.6345240196581705,0.6771802306175232
public_monitored,Public Monitored,0,ppo,108.0,0.36575233936309814,0.5429166555404663,0.6405924558639526,0.5847981572151184,3.1875574588775635,1.282331109046936,0.7655599117279053,0.6313593834530957,0.6782881617546082
public_monitored,Public Monitored,0,ppo,120.0,0.3514394760131836,0.5286328196525574,0.6290039420127869,0.5721028447151184,3.1612632274627686,1.2740761041641235,0.7708333134651184,0.6331774320162104,0.6871891021728516
public_monitored,Public Monitored,1,ppo,1.0,-0.24252763390541077,-0.022023115307092667,0.456510454416275,0.3388671875,2.4664387702941895,1.9685559272766113,0.3960612118244171,0.29865899549293473,0.33848097920417786
public_monitored,Public Monitored,1,ppo,12.0,0.1887369602918625,0.4064827859401703,0.6680338978767395,0.52587890625,2.505774974822998,1.8816251754760742,0.6292317509651184,0.469132604628796,0.4304009974002838
public_monitored,Public Monitored,1,ppo,24.0,0.2854798138141632,0.5036963224411011,0.6456380486488342,0.5652669072151184,2.695817232131958,1.7455838918685913,0.7319661378860474,0.5970504724942458,0.5824278593063354
public_monitored,Public Monitored,1,ppo,36.0,0.30062615871429443,0.510826826095581,0.6375000476837158,0.5657551884651184,2.909092426300049,1.6169757843017578,0.7385091185569763,0.6100874270018218,0.6400447487831116
public_monitored,Public Monitored,1,ppo,48.0,0.3212587237358093,0.522397518157959,0.6333333849906921,0.5703125,3.0330660343170166,1.5146373510360718,0.7517903447151184,0.6224857997759271,0.6644249558448792
public_monitored,Public Monitored,1,ppo,60.0,0.3361680507659912,0.5334066152572632,0.6462239623069763,0.5818684697151184,3.0468380451202393,1.4771591424942017,0.7737955451011658,0.6349653128401244,0.668890118598938
public_monitored,Public Monitored,1,ppo,72.0,0.33082452416419983,0.52500981092453,0.6283203363418579,0.5696614384651184,3.0502498149871826,1.4311435222625732,0.7811197638511658,0.6436010074502323,0.6921910643577576
public_monitored,Public Monitored,1,ppo,84.0,0.33868837356567383,0.5288590788841248,0.6357422471046448,0.5748698115348816,3.1002142429351807,1.3959295749664307,0.7808268070220947,0.6569944110744284,0.690854012966156
public_monitored,Public Monitored,1,ppo,96.0,0.3452909290790558,0.5308154821395874,0.6342122554779053,0.5755208134651184,3.1294639110565186,1.3445309400558472,0.7884439826011658,0.6598015954886054,0.6998300552368164
