design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model
baseline,pure,normal,0.5750000000000001,0.5,0.07500000000000007,0,0.04,0.04,1,25,25,0,0,0.0,0.0,False,0.4012936743170762,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,22,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,0,0.08,0.08333333333333333,2,25,24,0,1,0.0,0.04,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,11,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,23,0.08,0.08,2,25,25,0,0,0.0,0.0,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,8,0.12,0.125,3,25,24,0,1,0.0,0.04,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,26,0.16,0.16666666666666666,4,25,24,0,1,0.0,0.04,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5750000000000001,0.5,0.07500000000000007,1,0.08,0.08,2,25,25,0,0,0.0,0.0,False,0.4012936743170762,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,17,0.08,0.08,2,25,25,0,0,0.0,0.0,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,27,0.08,0.08333333333333333,2,25,24,0,1,0.0,0.04,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,18,0.16,0.16666666666666666,4,25,24,0,1,0.0,0.04,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,21,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5750000000000001,0.5,0.07500000000000007,5,0.0,0.0,0,25,25,0,0,0.0,0.0,False,0.4012936743170762,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5750000000000001,0.5,0.07500000000000007,8,0.08,0.08,2,25,25,0,0,0.0,0.0,False,0.4012936743170762,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,20,0.08,0.08333333333333333,2,25,24,0,1,0.0,0.04,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,28,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,3,0.04,0.043478260869565216,1,25,23,0,2,0.0,0.08,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5750000000000001,0.5,0.07500000000000007,4,0.04,0.04,1,25,25,0,0,0.0,0.0,False,0.4012936743170762,1.0,1.0,openai/gpt-oss-120b
